Movie Name,Director,Year,Jump Count,Jump Scare Rating,Netflix (US)
Event Horizon,Paul W.S. Anderson,1997,11,3.0,No
Evil Dead,Fede Alvarez,2013,20,4.0,No
Evil Dead 2,Sam Raimi,1987,27,4.0,No
Exorcist: The Beginning,Renny Harlin,2004,17,4.0,No
Extinction,Miguel Ángel Vivas,2015,12,3.0,No
Extraterrestrial,Colin Minihan,2014,30,4.5,No
Extremity,Anthony DiBlasi,2018,5,2.5,No
Eyes Without a Face,Georges Franju,1960,1,0.5,No
False Positive,John Lee,2021,2,2.0,Yes
Fantasy Island ,Jeff Wadlow ,2020,13,2.5,No
Fatal Attraction,Adrian Lyne,1987,7,2.0,No
Fear Clinic,Robert Hall,2014,13,3.0,No
Fear of Rain,Castille Landon,2021,1,0.5,No
Fear Street Part One: 1994,Leigh Janiak,2021,12,2.5,Yes
Fear Street Part Three: 1666,Leigh Janiak,2021,5,1.0,Yes
Fear Street Part Two: 1978,Leigh Janiak,2021,15,3.0,Yes
FearDotCom,William Malone,2002,5,1.0,No
Final Destination,James Wong,2000,4,2.0,Yes
Final Destination 2,David R. Ellis,2003,3,1.0,Yes
Final Destination 3,James Wong,2006,5,1.0,Yes
Final Destination 5,Steven Quale,2011,5,1.5,No
Flatliners,Niels Arden Oplev,2017,20,4.0,No
Flatliners,Joel Schumacher,1990,7,2.0,Yes
Forbidden Siren,Yukihiko Tsutsumi,2006,5,1.0,No
Forgotten (Gi-eok-ui bam),Hang-jun Jang,2017,3,1.0,Yes
Four Hands,Oliver Kienle,2017,1,0.5,No
Frailty,Bill Paxton,2001,0,0.0,No
Frankenstein’s Army,Richard Raaphorst,2013,5,2.0,No
Freaky,Christopher Landon,2020,9,2.0,No
Freddy vs. Jason,Ronny Yu,2003,24,4.0,No
Freddy’s Dead: The Final Nightmare,Rachel Talalay,1991,5,1.0,No
Friday the 13th,Sean S. Cunningham,1980,10,3.0,No
Friday the 13th,Marcus Nispel,2009,23,4.0,No
Friday the 13th Part 2,Steve Miner,1981,12,3.0,No
Friday the 13th Part III,Steve Miner,1982,7,1.5,No
Friday the 13th Part IV: The Final Chapter,Joseph Zito,1984,7,1.5,No
