Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,imdbRating
Freddy vs. Jason,2003,R,15 Aug 2003,97 min,"Action, Horror",Ronny Yu,"Wes Craven, Victor Miller, Damian Shannon","Robert Englund, Ken Kirzinger, Kelly Rowland","Freddy Krueger and Jason Voorhees return to terrorize the teenagers of Elm Street. Only this time, they're out to get each other, too.",English,United States,2 wins & 11 nominations,5.7
Frankenstein,1931,Passed,21 Nov 1931,70 min,"Drama, Horror, Sci-Fi",James Whale,"John L. Balderston, Mary Shelley, Peggy Webling","Colin Clive, Mae Clarke, Boris Karloff",Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts.,"English, Latin",United States,4 wins & 3 nominations,7.8
Dracula,1992,R,13 Nov 1992,128 min,"Drama, Fantasy, Horror",Francis Ford Coppola,"Bram Stoker, James V. Hart","Gary Oldman, Winona Ryder, Anthony Hopkins",The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land.,"English, Romanian, Greek, Bulgarian, Latin","United Kingdom, United States",Won 3 Oscars. 24 wins & 25 nominations total,7.4
Color Out of Space,2019,Unrated,25 Feb 2020,111 min,"Horror, Mystery, Sci-Fi",Richard Stanley,"H.P. Lovecraft, Richard Stanley, Scarlett Amaris","Nicolas Cage, Joely Richardson, Madeleine Arthur",A secluded farm is struck by a strange meteorite which has apocalyptic consequences for the family living there and possibly the world.,English,"United States, Malaysia, Portugal",7 wins & 16 nominations,6.1
Children of the Corn,1984,R,09 Mar 1984,92 min,"Horror, Thriller",Fritz Kiersch,"Stephen King, George Goldsmith","Peter Horton, Linda Hamilton, R.G. Armstrong",A young couple is trapped in a remote town where a dangerous religious cult of children believes that everyone over age 18 must be killed.,English,United States,1 win & 3 nominations,5.6
Carrie,1976,R,16 Nov 1976,98 min,"Horror, Mystery",Brian De Palma,"Stephen King, Lawrence D. Cohen","Sissy Spacek, Piper Laurie, Amy Irving","Carrie White, a shy, friendless teenage girl who is sheltered by her domineering, religious mother, unleashes her telekinetic powers after being humiliated by her classmates at her senior prom.",English,United States,Nominated for 2 Oscars. 3 wins & 8 nominations total,7.4
Candyman,1992,R,16 Oct 1992,99 min,"Horror, Thriller",Bernard Rose,"Clive Barker, Bernard Rose","Virginia Madsen, Xander Berkeley, Tony Todd","The Candyman, a murderous soul with a hook for a hand, is accidentally summoned to reality by a skeptic grad student researching the monster's myth.",English,"United States, United Kingdom",5 wins & 10 nominations,6.7
Annabelle,2014,R,03 Oct 2014,99 min,"Horror, Mystery, Thriller",John R. Leonetti,Gary Dauberman,"Ward Horton, Annabelle Wallis, Alfre Woodard",A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.,English,United States,3 wins & 7 nominations,5.4
A Quiet Place,2018,PG-13,06 Apr 2018,90 min,"Drama, Horror, Sci-Fi",John Krasinski,"Bryan Woods, Scott Beck, John Krasinski","Emily Blunt, John Krasinski, Millicent Simmonds","In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.","American Sign , English",United States,Nominated for 1 Oscar. 34 wins & 124 nominations total,7.5
A Nightmare on Elm Street 3: Dream Warriors,1987,R,27 Feb 1987,96 min,"Fantasy, Horror",Chuck Russell,"Wes Craven, Bruce Wagner, Frank Darabont","Heather Langenkamp, Robert Englund, Craig Wasson",A psychiatrist familiar with knife-wielding dream demon Freddy Krueger helps teens at a mental hospital battle the killer who is invading their dreams.,English,United States,1 win & 4 nominations,6.6
A Nightmare on Elm Street,1984,R,16 Nov 1984,91 min,Horror,Wes Craven,Wes Craven,"Heather Langenkamp, Johnny Depp, Robert Englund","Teenager Nancy Thompson must uncover the dark truth concealed by her parents after she and her friends become targets of the spirit of a serial killer with a bladed glove in their dreams, in which if they die, it kills them in rea...",English,United States,5 wins & 6 nominations,7.4
A Ghost Story,2017,R,27 Jul 2017,92 min,"Drama, Fantasy, Romance",David Lowery,David Lowery,"Casey Affleck, Rooney Mara, McColm Cephas Jr.","In this singular exploration of legacy, love, loss, and the enormity of existence, a recently deceased, white-sheeted ghost returns to his suburban home to try to reconnect with his bereft wife.","English, Spanish",United States,11 wins & 21 nominations,6.8
Resident Evil,2002,R,15 Mar 2002,100 min,"Action, Horror, Sci-Fi",Paul W.S. Anderson,Paul W.S. Anderson,"Milla Jovovich, Michelle Rodriguez, Ryan McCluskey","A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",English,"United Kingdom, Germany",7 nominations,6.6
Zodiac,2007,R,02 Mar 2007,157 min,"Crime, Drama, Mystery",David Fincher,"James Vanderbilt, Robert Graysmith","Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo","Between 1968 and 1983, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",English,United States,4 wins & 72 nominations,7.7
Silent Hill,2006,R,21 Apr 2006,125 min,"Horror, Mystery",Christophe Gans,Roger Avary,"Radha Mitchell, Laurie Holden, Sean Bean","A woman, Rose, goes in search for her adopted daughter within the confines of a strange, desolate town called Silent Hill.",English,"Canada, France",8 nominations,6.5
Shutter Island,2010,R,19 Feb 2010,138 min,"Mystery, Thriller",Martin Scorsese,"Laeta Kalogridis, Dennis Lehane","Leonardo DiCaprio, Emily Mortimer, Mark Ruffalo","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.","English, German",United States,11 wins & 66 nominations,8.2
