Title,Authors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Conversation Pivots and Double Pivots,"Zhou, Daniel Xiaodan; Oostendorp, Nathan; Hess, Michael; Resnick, Paul","Burnett, M; Costabile, MF; Catarci, T; DeRuyter, B; Tan, D; Czerwinski, M; Lund, A","CHI 2008: 26TH ANNUAL CHI CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS VOLS 1 AND 2, CONFERENCE PROCEEDINGS",2008,2008,,,,,,1009,1012,,,26th Annual CHI Conference on Human Factors in Computing Systems,"APR 05-10, 2008",1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Three Recommender Approaches to Interface Controls Reduction,"Oostendorp, Nathan; Resnick, Paul",,RECSYS '08: PROCEEDINGS OF THE 2008 ACM CONFERENCE ON RECOMMENDER SYSTEMS,2008,2008,,,,,,235,242,,,ACM Conference on Recommender Systems,"OCT 23-25, 2008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipulation-Resistant Reputation Systems,"Friedman, Eric; Resnick, Paul; Sami, Rahul","Nisan, N; Roughgarden, T; Tardos, E; Vazirani, VV",ALGORITHMIC GAME THEORY,2007,2007,,,,,,677,697,,,,,37,2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,2,6,2,7,2,2,2,3,0
Follow the Reader: Filtering Comments on Slashdot,"Lampe, Cliff; Johnston, Erik; Resnick, Paul",,"CONFERENCE ON HUMAN FACTORS IN COMPUTING SYSTEMS, VOLS 1 AND 2",2007,2007,,,,,,1253,1262,,,Conference on Human Factors in Computing Systems,"APR 28-MAY 03, 2007",28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,4,6,3,4,1,5,0
The Influence Limiter: Provably Manipulation-Resistant Recommender Systems,"Resnick, Paul; Sami, Rahul",,RECSYS 07: PROCEEDINGS OF THE 2007 ACM CONFERENCE ON RECOMMENDER SYSTEMS,2007,2007,,,,,,25,32,,,ACM Conference on Recommender Systems,"OCT 19-20, 2007",25,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,2,2,5,0,2,1,4,0,0
The value of reputation on eBay: A controlled experiment,"Resnick, Paul; Zeckhauser, Richard; Swanson, John; Lockwood, Kate",,EXPERIMENTAL ECONOMICS,JUN 2006,2006,9,2,,,,79,101,,10.1007/s10683-006-4309-2,,,402,26.8,0,0,0,0,0,0,0,0,0,0,0,3,13,30,36,39,27,34,26,29,42,28,25,33,32,5
Eliciting informative feedback: The peer-prediction method,"Miller, N; Resnick, Paul; Zeckhauser, R",,MANAGEMENT SCIENCE,SEP 2005,2005,51,9,,,,1359,1373,,10.1287/mnsc.1050.0379,,,175,10.94,0,0,0,0,0,0,0,0,0,0,1,7,9,14,9,10,10,7,5,17,15,18,12,17,20,4
Using social psychology to motivate contributions to online communities,"Ling, K; Beenen, G; Ludford, P; Wang, XQ; Chang, K; Li, X; Cosley, D; Frankowski, D; Terveen, L; Rashid, AM; Resnick, Paul; Kraut, R",,JOURNAL OF COMPUTER-MEDIATED COMMUNICATION,JUL 2005,2005,10,4,,,,,,UNSP 10,,,,167,10.44,0,0,0,0,0,0,0,0,0,0,1,2,7,11,13,9,7,9,8,15,19,19,18,13,13,3
The social cost of cheap pseudonyms,"Friedman, EJ; Resnick, Paul",,JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,SUM 2001,2001,10,2,,,,173,199,,10.1162/105864001300122476,,,244,12.2,0,0,0,0,0,0,0,1,4,12,20,19,22,17,25,17,19,11,9,13,13,14,9,8,7,4
Reputation systems,"Resnick, Paul; Zeckhauser, R; Friedman, E; Kuwabara, K",,COMMUNICATIONS OF THE ACM,DEC 2000,2000,43,12,,,,45,48,,10.1145/355112.355122,,,1029,49,0,0,0,0,0,0,1,11,22,31,55,64,71,96,84,62,79,70,51,54,69,57,63,39,39,11
The market for evaluations,"Avery, C; Resnick, Paul; Zeckhauser, R",,AMERICAN ECONOMIC REVIEW,JUN 1999,1999,89,3,,,,564,584,,10.1257/aer.89.3.564,,,94,4.27,0,0,0,0,1,0,5,2,2,3,9,8,5,7,2,7,2,6,3,4,7,3,5,5,7,1
Zoning speech on the Internet: A legal and technical model,"Lessig, L; Resnick, Paul",,MICHIGAN LAW REVIEW,NOV 1999,1999,98,2,,,,395,431,,10.2307/1290343,,,25,1.14,0,0,0,0,0,3,2,2,4,3,3,2,0,0,0,3,0,1,1,0,0,0,0,1,0,0
The architectures of mandated access controls,"Lessig, L; Resnick, Paul","Gillett, SE; Vogelsang, I","COMPETITION, REGULATION, AND CONVERGENCE: CURRENT TRENDS IN TELECOMMUNICATIONS POLICY RESEARCH",1999,1999,,,,,,137,157,,,26th Annual Telecommunications Policy Research Conference (TPRC),"OCT 03-05, 1998",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recommender systems,"Resnick, Paul; Varian, HR",,COMMUNICATIONS OF THE ACM,MAR 1997,1997,40,3,,,,56,58,,10.1145/245108.245121,,,1552,64.67,0,0,3,4,16,24,19,24,34,49,52,38,73,79,91,82,80,83,87,107,126,132,112,113,91,33
REFEREE: trust management for Web applications,"Chu, YH; Feigenbaum, J; LaMacchia, B; Resnick, Paul; Strauss, M",,COMPUTER NETWORKS AND ISDN SYSTEMS,SEP 1997,1997,29,8-13,,,,953,964,,10.1016/S0169-7552(97)00009-3,6th International World Wide Web Conference,"APR 07-11, 1997",69,2.88,0,0,0,0,1,0,2,3,2,4,4,2,7,6,7,12,7,1,2,1,1,1,3,3,0,0
Managing trust in an information-labeling system,"Blaze, M; Feigenbaum, J; Resnick, Paul; Strauss, M",,EUROPEAN TRANSACTIONS ON TELECOMMUNICATIONS,SEP-OCT 1997,1997,8,5,,,,491,501,,10.1002/ett.4460080507,Conference on Security in Communication Networks,"SEP 16-17, 1996",5,0.21,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Filtering information on the Internet,"Resnick, Paul",,SCIENTIFIC AMERICAN,MAR 1997,1997,276,3,,,,62,64,,10.1038/scientificamerican0397-62,,,4,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0
PICS: Internet access controls without censorship,"Resnick, Paul; Miller, J",,COMMUNICATIONS OF THE ACM,OCT 1996,1996,39,10,,,,87,93,,10.1145/236156.236175,,,66,2.64,0,1,7,4,9,6,2,3,4,2,5,3,3,3,3,3,0,0,2,0,4,0,0,1,1,0
Roles for electronic brokers,"RESNICK, PAUL; ZECKHAUSER, R; AVERY, C","Brock, GW",TOWARD A COMPETITIVE TELECOMMUNICATION INDUSTRY: SELECTED PAPERS FROM THE 1994 TELECOMMUNICATIONS POLICY RESEARCH CONFERENCE,1995,1995,,,,,,289,304,,,22nd Annual Telecommunications Policy Research Conference,"OCT, 1994",3,0.12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
SI 506 rocks,"Whyte, Anthony; Resnick, Paul",,COMMUNICATIONS OF THE ACM,MAR 1997,1997,40,3,,,,56,58,,10.1145/245108.245121,,,1552,64.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
